,born,bornCity,bornCountry,bornCountryCode,died,diedCity,diedCountry,diedCountryCode,firstname,gender,id,prizes,surname,affiliations,category,motivation,overallMotivation,share,year
0,1845-03-27,Lennep (now Remscheid),Prussia (now Germany),DE,1923-02-10,Munich,Germany,DE,Wilhelm Conrad,male,1,"[{'year': '1901', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""', 'affiliations': [{'name': 'Munich University', 'city': 'Munich', 'country': 'Germany'}]}]",Röntgen,"[{'name': 'Munich University', 'city': 'Munich', 'country': 'Germany'}]",physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",,1,1901
1,1853-07-18,Arnhem,the Netherlands,NL,1928-02-04,,the Netherlands,NL,Hendrik Antoon,male,2,"[{'year': '1902', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""', 'affiliations': [{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]}]",Lorentz,"[{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]",physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",,2,1902
2,1865-05-25,Zonnemaire,the Netherlands,NL,1943-10-09,Amsterdam,the Netherlands,NL,Pieter,male,3,"[{'year': '1902', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""', 'affiliations': [{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]}]",Zeeman,"[{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]",physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",,2,1902
3,1852-12-15,Paris,France,FR,1908-08-25,,France,FR,Antoine Henri,male,4,"[{'year': '1903', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""', 'affiliations': [{'name': 'École Polytechnique', 'city': 'Paris', 'country': 'France'}]}]",Becquerel,"[{'name': 'École Polytechnique', 'city': 'Paris', 'country': 'France'}]",physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",,2,1903
4,1859-05-15,Paris,France,FR,1906-04-19,Paris,France,FR,Pierre,male,5,"[{'year': '1903', 'category': 'physics', 'share': '4', 'motivation': '""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""', 'affiliations': [{'name': 'École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)', 'city': 'Paris', 'country': 'France'}]}]",Curie,"[{'name': 'École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry)', 'city': 'Paris', 'country': 'France'}]",physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,4,1903
5,1867-11-07,Warsaw,Russian Empire (now Poland),PL,1934-07-04,Sallanches,France,FR,Marie,female,6,"[{'year': '1903', 'category': 'physics', 'share': '4', 'motivation': '""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""', 'affiliations': [[]]}, {'year': '1911', 'category': 'chemistry', 'share': '1', 'motivation': '""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]","Curie, née Sklodowska",[[]],physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,4,1903
6,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,GB,1919-06-30,,United Kingdom,GB,Lord Rayleigh,male,8,"[{'year': '1904', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""', 'affiliations': [{'name': 'Royal Institution of Great Britain', 'city': 'London', 'country': 'United Kingdom'}]}]",(John William Strutt),"[{'name': 'Royal Institution of Great Britain', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",,1,1904
7,1862-06-07,Pressburg (now Bratislava),Hungary (now Slovakia),SK,1947-05-20,Messelhausen,Germany,DE,Philipp Eduard Anton,male,9,"[{'year': '1905', 'category': 'physics', 'share': '1', 'motivation': '""for his work on cathode rays""', 'affiliations': [{'name': 'Kiel University', 'city': 'Kiel', 'country': 'Germany'}]}]",von Lenard,"[{'name': 'Kiel University', 'city': 'Kiel', 'country': 'Germany'}]",physics,"""for his work on cathode rays""",,1,1905
8,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,GB,1940-08-30,Cambridge,United Kingdom,GB,Joseph John,male,10,"[{'year': '1906', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Thomson,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",,1,1906
9,1852-12-19,Strelno (now Strzelno),Prussia (now Poland),PL,1931-05-09,"Pasadena, CA",USA,US,Albert Abraham,male,11,"[{'year': '1907', 'category': 'physics', 'share': '1', 'motivation': '""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]",Michelson,"[{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]",physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",,1,1907
